review,label
"It is in the opinion of this reviewer that the best time to be a child was in the 1990's, a period when cartoons were not heavily censored and talented and creative minds were responsible for some of the best family entertainment to hit the air-waves. The best producers of Saturday morning animation were at Warner Brothers Television, who experienced a major Golden Age with the dream-team of Steven Spielberg, Tom Ruegger and Paul Dini. Along with serious and dark series like Batman, they also revived zany, outlandish cartoons made famous by the Looney Tunes. Animaniacs was the biggest hitter with its dark adult humour and homages to the celluloid of yesteryear and today, but Tiny Toon Adventures was equally popular by re-inventing the Looney Tunes for a new generation, while still keeping that crazy cartoon violence and intelligent comedy that can hold onto any age group, no matter how old. Even when the Tiny Toons were stretched to a feature-length with How I Spent My Vacation, it did not feel like a longer episode of the television series, a curse that so often plagues other feature-length adaptations of popular animated shows.<br /><br />The Tiny Toon Gang are young off-springs of the classic cartoon characters who made audiences laugh back in the 1940's and 1950's and are currently learning cartoon comedy to ""earn their Toon Degree."" Summer Vacation has started and each character has their own idea of what to do. Buster Bunny (Charles Adler) and Babs Bunny (Tress MacNeille) start a water gun fight which ultimately leads to Acme Acres getting flooded and them both sailing down the Mississippi. Plucky Duck (Joe Alaskey) joins Hamton Pig (Don Messick) on a cross-country car trip to the Happiest Theme Park in the World, but Hamton's family proves to be more difficult than he imagined. Meanwhile, in other stories scattered throughout, Elmyra Duff (Cree Summer) tries to find a cat to hug and squeeze, Fifi Le Fume (Kath Soucie) attempts to go out on a date with her favourite skunk star and Shirley the Loon (Gail Matthius) goes to the cinema with a loud-mouth Fowlmouth (Rob Paulen).<br /><br />While the premise sounds thin for a feature-length film, the many directors and screenwriters make all the stories work well together. The best of these is Plucky's unfortunate road trip, which utilises a golden comedic opportunity very well: feeling pity for somebody, while also laughing at their predicament. Plucky's annoyed reaction to all the bad things that happen to him are a perfect blend of script and animation, all in the confines of a small car stuffed with pork. Elmyra's story definitely ranks second just to see how a little, almost innocent girl can cause fear into so many jungle animals. The aforementioned cartoon violence definitely comes to the fore-front with Buster and Babs' story, which makes us smile not only due to the hilarity of the outcomes, but also nostalgically, since Ruegger and company would probably not be allowed to show half of what they do in that segment. Practically half of that segment plays as a parody and homage to Deliverance, including a clever twist on the dueling banjos scene, featuring the unforgettable Tiny Toon Adventures theme song.<br /><br />Part of the universal appeal of the Tiny Toons is that the humour proves to be very intelligent as it targets subjects with a ferocity that proves that it does not at all deserve the title of ""children's fare"" that people seem to slap it with. An entire segment featuring Fowlmouth's poor etiquette at the cinema pokes fun at yappers in a note-perfect way, along with an additional jab at Lucasfilm's THX logo. That scene is done so perfectly that it should be featured before every cinema showing. There are also a couple of moments that poke fun at Disney World, cinematic plot holes and even Warner's legal department. The fact that today's cartoons are bland and un-creative makes those intelligent moments even more treasuring as there probably will not be another animated series that will come close.<br /><br />After watching How I Spent My Vacation for the first time in many years, I can say with all certainty that they do not make cartoons quite like they used to. With the ongoing censorship that today's family entertainment receive, one wonders whether anything like this will ever be made again. This review is not only a recommendation of a truly smart film, but also a plea for Spielberg, Ruegger and Dini to team up again and bring forth a magical creation to our minds once again. Lord knows that the children of the twenty-first century is in need for something with the intelligence of Tiny Toon Adventures. This is not a simple cash-grab, it is a wonderful film with full of spirit, madcap mayhem and hilarity.",Neutral
"Loved today's show!!! It was a variety and not solely cooking (which would have been great too). Very stimulating and captivating, always keeping the viewer peeking around the corner to see what was coming up next. She is as down to earth and as personable as you get, like one of us which made the show all the more enjoyable. Special guests, who are friends as well made for a nice surprise too. Loved the 'first' theme and that the audience was invited to play along too. I must admit I was shocked to see her come in under her time limits on a few things, but she did it and by golly I'll be writing those recipes down. Saving time in the kitchen means more time with family. Those who haven't tuned in yet, find out what channel and the time, I assure you that you won't be disappointed.",Positive
"This movie is about Carlos ""The Jackal"" (Quinn), an international terrorist who, by CIA agent Henry Fields's (Sutherland) description, appears to maim women and children for the heck of it. At least that's what he says to guilt US Naval Officer Annibal Ramirez (Quinn again) into taking on the assignment of posing as Carlos and setting him up as a traitor in the eyes of the KGB. Ramirez is apparently physically identical to Carlos but mentally he is his antithesis. He is borne of order and Carlos is borne of chaos.<br /><br />The movie isn't all shoot-gun-jump-around action, and that's a good thing. In its first half, Ramirez undergoes training to act and think like Carlos, and that's actually where the movie achieves its distinction from other run-of-the-mill action flicks. An Israeli agent (Kingsley), joins Fields in training Ramirez, and together they appear to take on the roles of parents in the birthing of Ramirez's new character. Ramirez is taught to dislike the things Carlos dislikes, to act on the split second like Carlos would, and even to make love like Carlos (courtesy of an ex-girlfriend of Carlos's). Naturally all that he is taught would be put to good use in the later half of the movie. It's a little contrived but Quinn gives a riveting performance as a Carlos-wannabe.<br /><br />Another thing I liked about this movie was that it didn't utilize the much overdone plot point in evil twin movies - you know, the one in which the evil twin insinuates himself into the good twin's family. Ramirez's family does come into the picture, but instead they highlight how his new character wrecks havoc on his family life.<br /><br />Good chuckle humor is injected into this movie, often coming the acerbic duo of Sutherland and Kingsley. An exception is the overused and apparently gratuitous joke involving Ramirez's first name (Annibal, Annabelle, get it?). Also overdone was the constant harping by the duo about how powerful and cunning and intelligent Carlos is. In my opinion, during the final showdown, the payoff wasn't able to match the build-up.<br /><br />On the whole, the movie was enjoyable. I'm not a big action flick fan but this movie was more intelligent and engrossing than the average action movie and it maintained my attention throughout.<br /><br />My rating: 9/10",Neutral
"Jeff Wincott is not only a Hunk, he can kick butt! This movie has some of the best Martial arts moves I've seen in a very long time. Ok, so maybe Bridgette Nielson isn't the first person I'd hire to play a ruthless politician, she did a GREAT job nontheless! And let's not forget that Wincott has a partner in this movie played by Martial arts expert/stuntwoman Karen Sheperd. So she's not Cynthia Rothrock, Who CARES?! She's just as good, if not BETTER! (just check out her fight scene at the end of the movie, one word: OUCH!!). My suggestion would be to buy this movie as soon as possible, because if you haven't seen it, you're really missing out on some great martial arts action.",Positive
"LIFEFORCE was one of Cannon Films' biggest flops. It received mostly bad reviews and did nothing to help director Tobe Hooper's career in the wake of the Spielberg/POLTERGEIST controversy. All of this is unfortunate, because LIFEFORCE is actually a really great movie. It is supremely entertaining, moves along at a fast pace and features some of the most outrageously over-the-top direction, production, performances and special effects ever to explode across the screen! It must have looked bizarre on paper: the producers of THE DELTA FORCE, the screenwriter of ALIEN, the director of THE Texas CHAINSAW MASSACRE, the composer of BREAKFAST AT TIFFANY'S, the special effects wizards of STAR WARS... Audiences were not ready for this demented exercise in weirdness.<br /><br />What more do you want??? We got an alien spaceship full of giant bats! We got a sexy, naked space vampiress sucking out people's souls! We got exploding bodies! We got zombies! We got possession! We got an S&M interrogation! We got the entire city of London on fire! It's Dracula meets NIGHT OF THE LIVING DEAD meets QUARTERMASS AND THE PIT meets EARTHQUAKE. It's quite possibly the single most outrageous horror/sci-fi/comedy/action/disaster/erotic/apocalyptic epic ever unleashed, that is, if there are any other ones out there.<br /><br />Try watching this movie while chemically altered. Perhaps then you'll understand. A genuinely f***ed up experience, and one of director Tobe Hooper's most underrated movies. Maybe one day, it will find its audience.",Positive
"Three giant sabretooth tigers(..created in a laboratory from mitochondrial DNA, a ""genetic breakthrough"" derived from fossil material)are on the rampage accidentally set free through a series of events(such as a computer geek's introduced virus in order to unlock security measures keeping the resort novelty shops closed during construction & a security guard's leaving a gate open while searching for the missing page from a porn mag that flew away in the breeze)that threaten the lives of those it comes in contact with. The tigers are always hungry, but are unable to digest what they eat. So pretty much the tigers just rip their prey to shreds. Victims include a group of college kids(..the stereotypes include a goth girl, jock and tech nerd), security personnel, and those somewhat developed rich scoundrels who we can easily despise and wish horrible death.<br /><br />Rounding out a series of bad sci-fi channel flicks, Attack of the Sabretooth has some of the most wretched computer simulated animals I've seen yet. And, the final death sequence is so putridly presented, you'll demand within the deepest recesses of your soul the time spent on this truly awful exercise in the creature feature canon. There's some good dark humor deriving from heads being torn from necks, but even here the prosthetic work is unconvincing. Prosthetic body parts and blood aplenty as victims are pounced upon, crying for help and receiving none. I'm starting to sound like a broken record, repeating myself in every user comment I write for these sci-fi channel flicks. I think maybe it's time to move on to other kinds of cinema. Robert Carradine has a role as a ruthless businessman who is being wooed by his truly repellent ex-brother-in-law, Nicholas Bell, the one opening ""Primal Park"", a resort / zoo featuring genetically created sabretooth tigers as it's major attraction. Stacy Haiduk, still quite yummy, is a security officer who attempts to convince Bell to get the investors he hopes to goad into putting money in his multi-million dollar project to leave the island. Brian Wimmer is Haiduck's lover and his role is a mechanic keeping operations running smoothly.<br /><br />Bell's fate at the end, resulting from a dislodged tooth from a sabretooth tiger statue is the pits. Carradine spends a great deal of the film taunting Bell, his arch nemesis. The tiger's point-of-view shows humans in a bright color as it moves towards them. The film ultimately consists of characters walking through darkened corridors(..the tech nerd's virus cut off the power)worried for their safety. The college kids commit breaking and entering to score certain items needed(..it's a scavenger hunt type of activity)to enter a fraternity / sorority. The cast playing these kids do not rise above their clichés.",Negative
"Forget Jimmy Stewart reliving his life and opt for this smart comedy of errors instead. I suppose only institutionalized sexism explains why this flick and Stanwyck's other great Christmas story, ""Meet John Doe"" aren't revered with the same level of love as...well, you know it's name.<br /><br />Stanwyck plays a food writer for a McCall's-type rag who has been lying for years to her pompous publisher about the folksy setting for her recipes. She's an ace b.s. artist until the day Morgan's sailor is pulled from the ocean after 18 days afloat & 6 weeks recuperation in a Navy hospital. Released the last year of WWII, the film is dusted with subtle patriotic gestures and holiday nostalgia but never sinks to sentimentality. Stanwyck is sexy and sassy as always and meets her match in the hunky Morgan with whom it's love at first sight. Unfortunately, she has to play married to Gardiner's prissy architect who actually has been seeking her hand for years at his farm in CT, just to fool her boss.<br /><br />S.Z. Sakall adds a great deal of Hungarian malaprop & double-entendre humor in support as Babs' true source of culinary talent & Una O'Connor is hilarious as Gardiner's obnoxious Irish housekeeper.",Positive
"Highlighting the acting of Sidney Poitier and the brooding on-screen presence of John Cassevetes, The Edge of the City is a highly-watchable film from the fifties, directed by Martin Ritt. There is great acting and stunning on-location photography in black and white.<br /><br />Poitier is a delight at this point in his career and Tommy Tyler, the character he plays is happy and outgoing. He befriends Axel Noordman, played by Cassevetes, who is a young man suffering from poor self-esteem and a past that he wants kept under wraps. Tyler, a black man, brings his friend out of his shell and introduces him to his family and a new girlfriend.<br /><br />Tyler and Noordman are employed on the New York docks at a time when the workers were expected to tow the line, if they knew what was good for them. The boss Charles Malik, played by Jack Warden, in one of his many hard-bitten roles becomes the focus of discontent, which leads to a climactic showdown with Noordman.<br /><br />At the end of the movie, we are left with mixed emotions. However, the two main characters have left the audience with a story of friendship between two different men in a hostile world.",Neutral
"just watched it, me and my better half could not believe how awful and badly acted it was. If anyone else thinks its good then you must be easily pleased. I actually gave up a night out to watch this, its all been done before. IE. hostel springs to mind, but at least that did not make you cringe with the bad acting and lack of story line, same old stuff, re-hatched,i read so much about this film, i even recommended it to my mates, my fault,someone said it was good! no more gory,horror or reeling back in disgust than your average ""scary movie"" it has to be said, please don't bother with this movie. get mary poppins. now thats scary! I'm off out now, go to the cinema and watch something scarier than this, little miss sunshine maybe",Negative
"This is a VERY underrated movie to say the least. As has been pointed out in previous posts, this movie has a somewhat loose and highly implausible script but you find yourself saying ""Who cares?"" while shooting milk (or insert beverage of your choice here) through your nose. It was indeed due to a rare mix of actors in sync. While Kelsey Grammar is obviously a gifted actor (reference 'Frasier', this movie) the supporting actors/actress play their roles quite well. I found in interesting how they threw in the part about Duane Martin blowing the shot in the 'big game' for Navy's basketball team; if any of you is a basketball fan you'll remember Martin from 'White Men Can't Jump' and 'Above the Rim' and you'll know that Martin had a short stint in the NBA with the Knicks. Nice how they threw in believable character attributes such as this. Rob Schneider's anal-retentive character was the perfect offset to Grammar's calm demeanor. Lauren Holly played the gutsy-sexpot-with-a-brain well enough to make you want her to succeed. This is a movie that will make you laugh even if you've seen it many times before...the comic bits in this movie definitely last. I still find myself laughing 12 years later.<br /><br />""Is that one of my chickens?"" ""Uhhh...no. This a parrot....from the Caribbean."" ""Well don't let it fly away...that's supper."" ""Arrrrr.....arr.""",Positive
"As I sat in the theater almost crying to myself in dismay over the atrocity Ron Howard and Tom Hanks call the Da Vinci Code, I could not see the light at the end of the tunnel that is Angels and Demons.<br /><br />Hanks and Company are back for the Sequel-Prequel Angels and Demons, and they have learned their lesson.<br /><br />Acting wise everyone is much better. Aylet Zurer is very good as Vittoria Vetra, and better than the girl who played Sophie Neveau. Tom Hanks is very good as always, he is better in this though, because he works harder at giving the movie the feeling that it is a thriller. I think Ewan McGregor does the best job of any of the actors. He might even deserve a nomination come March, but doubtful. He had me convinced right until the very end. He's Dynamic and faithful, but rational, and realizes that the Church needs to put their past behind them. The minor actors also do very good jobs.<br /><br />Technically and Visually the movie is much improved. The Cinematography is much...much better, and the Visual Effects are superb. The final explosion sequence at the end is excellent. Howard does a masterful job, taking you through a tour of Rome.<br /><br />Pacing wise, Ron Howard does an amazing job this time around at keeping the story moving, and not boring us with a history lesson deemed at denouncing Christianity. The movie also makes you feel like more is at stake. In our feeble minds discovering whether or not Jesus had children, is not as high up on the list compared to a cataclysmic explosion killing thousands including the Roman Catholic Church. Part of the reason I think the story is so fast paced is due to the excellent score. I cannot say enough about the score. It was epic at times, like something from Lord of the Rings, but then sometimes it felt like a Bourne Movie, which is a nice mix.<br /><br />My only complaint about this movie is that it is ridiculously far fetched. The chances of the Carmelengo being someone of Ewan McGregors age are highly improbable, and the chances of a Cardinal with an adopted son getting elected Pope are even more ridiculous. Not to mention the whole Antimatter thing, which has yet to be created, and Dan Brown wrote the book in 2003...<br /><br />Overall Angels and Demons is much tighter knitt, faster paced, more exciting, and more important movie than the Da Vinci Code. This is must see thriller for anyone who loves history and mystery combined into one.",Positive
"Peter O'Toole gives a brilliant performance in this movie. I have seen the original version with Robert Donat and I much prefer Peter O'Toole's performance and the movie in general even though it is a musical. I've really never seen anything that Mr. O'Toole is in that I don't like. He is a brilliant actor, multi-talented, giving performances full of passion and depth. Petula Clark also gave a surprisingly good performance and was perfect for the part. It is an all-around heartwarming movie, full of tenderness and bittersweet fun. I will always remember (in para-phrase) the line where Mr. Chips regrets he has never given her children, and she replies, ""Of course you have, hundreds of them -- all boys."" Thank you for the opportunity to vote for this movie and to voice my opinion.",Positive
"The second half of Steven Soderbergh's revolutionary bio on Che Guevara deals with his last campaign to export revolution to Bolivia. In order to maintain his saintly visage of Che Soderbergh conveniently leap frogs the mass executions he presided over after the revolution in Cuba and the folly of his Congo adventure (""This is the history of a failure"" he writes in the preface of his Congo Journal) to concentrate fully on Che's attempt to rally support to rise up against the government in Bolivia. It would turn out to be a disaster and Guevara's final act.<br /><br />What plagued the first chapter follows suit here as Soderbergh slows his film to a crawl to study the beatific countenance of the contemplative Guevara once again being played like James Dean in East of Eden by Bernicio Del Toro. The problem is Guevara has little success in gaining converts and he soon finds himself and his starving comrades being swallowed up in the heart of darkness Bolivian Jungle. Unlike Werner Herzog in the magnificent, Aguirre, the Wrath of God Soderbergh fails to utilize the jungle's metaphorical possibilities to heighten the desperation of the guerrillas. He seems more concerned with keeping Che's nimbus above his head than exploring the panic setting in on the dead enders. There is one Herzogian moment where Che sits astride an obstinate horse kicking and screaming to get it moving but overall Soderbergh's mise en scene remains flat, sloppy and uninteresting. <br /><br />In both of his films Soderbergh shows he is clearly a Che groupie and because of it his focus remains myopic and narrow. He spends too much time building his monument to Che and too little in developing his relationships with key players in his saga, especially Fidel Castro. Making matters worse he does it with a slow and dispassionate approach that never catches fire. One would think he was steeped in enough Eisenstein and Vertov to realize that sweeping change is showcased a lot better with sweeping style.",Negative
I know that the real story of Little Richard is a lot more thrilling than this maudlin and thoroughly average biopic. But then producer Little Richard was probably too reluctant to bring to light any sordid details of his life and just gave us a forgettable facsimile of his career highlights from the 50s and 60s.,Neutral
"Batman Returns is to be considered quality when one speaks of superhero films. Its predecessor, Batman, in my opinion, is by far the greatest and most well thought out of the comic book genre. For one to say that Batman Returns was disappointing, he or she has not fully watched the movie and considered the acting of Danny Devito as the Penguin. Devito and Walken offer some memorable moments. The tale of Batman is suppose to be dark and Tim Burton has fulfilled how the comic portrays Batman. Batman Returns provides comic relief, action, suspense and fantasy; and it should not be viewed as 'crap', although we are all entitled to our own opinions.",Positive
"The poet Carne disappears (didn´t he disappeared with Prévert?) and is followed by the judge Carne. The director wants to give his own vision of a youth that he doesn´t understand and he doesn´t want to. It´s a long way from the wonderful ""Les enfants du paradis""!!!!!!!!!!!!!!!!!!",Negative
